Date,Quantity
2021/1/7,320.7
2021/1/14,318.46
2021/1/21,338.69
2021/1/28,331.05
2021/2/3,316.88
2021/2/17,310.52
2021/2/24,290.73
2021/3/1,314.76
2021/3/7,323.85
2021/3/14,331.41
2021/3/21,338.7
2021/3/28,344.87
2021/4/5,350.35
2021/4/11,328.72
2021/4/18,323.33
2021/4/24,326.86
2021/5/2,311.5
2021/5/9,348.27
2021/5/16,339.1
2021/5/23,333.16
2021/5/30,334.75
2021/6/6,332.33
2021/6/13,327.94
2021/6/20,328.47
2021/6/27,318.66
2021/7/4,326.41
2021/7/11,324.73
2021/7/18,318.22
2021/7/25,310.02
2021/7/31,326.09
2021/8/7,328.59
2021/8/14,318.44
2021/8/21,323.72
2021/8/28,328.93
2021/9/6,332.8
2021/9/11,314.75
2021/9/18,306.98
2021/9/25,304.64
2021/10/9,285.96
2021/10/16,311.55
2021/10/23,294.65
2021/10/30,295.63
2021/11/7,299.28
2021/11/14,306.76
2021/11/21,303.21
2021/11/26,294.04
2021/12/3,284.16
2021/12/10,281.21
2021/12/17,307.89
2021/12/25,298
2021/12/31,305.69
2022/1/7,307.12
2022/1/14,312.35
2022/1/21,311.3
2022/1/28,317.17
2022/2/3,290.48
2022/2/10,245.67
2022/2/17,291.53
2022/2/24,318
2022/3/1,329.04
2022/3/7,309.66
2022/3/14,306.85
2022/3/21,314.04
2022/3/28,313.57
2022/4/5,320.7
2022/4/11,313.52
2022/4/18,317.47
2022/4/24,331.69
2022/5/2,316.14
2022/5/9,332.29
2022/5/16,331.64
2022/5/23,308.54
2022/5/30,313.57
2022/6/6,322.14
2022/6/13,310.62
2022/6/20,312.82
2022/6/27,327.96
2022/7/4,309.74
2022/7/11,302.16
2022/7/18,305.53
2022/7/25,314.29
2022/7/31,304.71
2022/8/7,301.91
2022/8/14,302.45
2022/8/21,299.55
2022/8/28,315.89
2022/9/6,318.98
2022/9/11,305.21
2022/9/18,310.37
2022/9/25,311
2022/10/9,284.01
2022/10/16,303.4
2022/10/23,319.16
2022/10/30,321.37
2022/11/7,319.02
2022/11/14,305.75
2022/11/21,312.43
2022/11/26,303.2
2022/12/3,305.19
2022/12/10,310.61
2022/12/17,310.39
2022/12/25,297.78
2022/12/31,304.25
2023/1/7,290.36
2023/1/14,283.79
2023/1/21,289.8
2023/1/28,258.46
2023/2/3,269.29
2023/2/10,307.01
2023/2/17,318.28
2023/2/24,315.09
2023/3/1,321.29
2023/3/7,317.6
2023/3/14,319.58
2023/3/21,312.12
2023/3/28,321.78
2023/4/5,329.15
2023/4/11,320.54
2023/4/18,313.15
2023/4/24,313.08
2023/5/2,300.97
2023/5/9,302.16
2023/5/16,310.08
2023/5/23,318.29
2023/5/30,318.78
2023/6/6,316.26
2023/6/13,312.13
2023/6/20,311.88
2023/6/27,300.17
2023/7/4,295.4
2023/7/11,297.42
2023/7/18,310.6
2023/7/25,314.68
2023/7/31,301.55
2023/8/7,308.02
2023/8/14,313.86
2023/8/21,316.12
2023/8/28,321.37
2023/9/6,312.39
2023/9/11,311.1
2023/9/18,306.94
2023/9/25,321.61
2023/10/9,300.16
2023/10/16,315.67
2023/10/23,318.39
2023/10/30,325.27
2023/11/7,326.35
2023/11/14,316.46
2023/11/21,311.96
