YearMon,Yield
2016-01,5537.55
2016-02,5001.65
2016-03,6019.90
2016-04,5842.00
2016-05,6064.90
2016-06,5974.40
2016-07,5780.70
2016-08,6019.30
2016-09,5931.70
2016-10,5875.90
2016-11,5722.80
2016-12,5747.00
2017-01,5965.66
2017-02,5388.34
2017-03,6199.90
2017-04,6257.70
2017-05,6173.30
2017-06,6168.00
2017-07,6207.40
2017-08,6260.80
2017-09,5959.90
2017-10,6001.50
2017-11,5488.30
2017-12,5472.30
2018-01,5377.52
2018-02,5953.68
2018-03,6045.48
2018-04,6310.60
2018-05,6688.60
2018-06,6587.90
2018-07,6751.50
2018-08,6665.50
2018-09,6637.70
2018-10,6773.60
2018-11,6372.60
2018-12,6320.10
2019-01,6651.34
2019-02,6007.66
2019-03,6615.20
2019-04,6983.40
2019-05,7219.00
2019-06,7013.90
2019-07,6831.00
2019-08,7117.00
2019-09,6730.00
2019-10,6558.20
2019-11,6477.10
2019-12,6706.30
2020-01,6838.00
2020-02,6396.00
2020-03,6697.00
2020-04,7202.00
2020-05,7732.00
2020-06,7664.00
2020-07,7818.00
2020-08,7854.60
2020-09,7578.00
2020-10,7617.10
2020-11,7200.50
2020-12,7421.50
2021-01,7605.51
2021-02,6869.49
2021-03,7475.00
2021-04,7579.00
2021-05,7815.00
2021-06,7578.00
2021-07,7285.00
2021-08,7153.00
2021-09,6518.00
2021-10,6302.00
2021-11,6173.00
2021-12,7210.00
2022-01,6942.42
2022-02,6270.58
2022-03,7159.84
2022-04,7677.80
2022-05,8048.90
2022-06,7687.49
2022-07,7048.62
2022-08,7137.40
2022-09,7393.90
2022-10,7082.90
2022-11,6799.00
2022-12,6663.02
2023-01,7579.82
2023-02,6846.28
2023-03,7806.84
2023-04,7784.00
2023-05,7700.08
2023-06,7698.08
2023-07,7759.60
2023-08,7462.30
2023-09,7154.22
2023-10,6918.70
