IndexDate,profitability_rate
2019-01-04,76.11
2019-01-11,77.73
2019-01-18,78.54
2019-01-25,79.35
2019-02-01,80.97
2019-02-08,81.38
2019-02-15,81.78
2019-02-22,81.78
2019-03-01,82.59
2019-03-08,84.21
2019-03-15,83.40
2019-03-22,85.43
2019-03-29,86.64
2019-04-05,87.04
2019-04-12,88.26
2019-04-19,88.26
2019-04-26,88.26
2019-05-03,90.28
2019-05-10,90.28
2019-05-17,90.28
2019-05-24,90.69
2019-05-31,90.69
2019-06-07,91.09
2019-06-14,91.09
2019-06-21,88.66
2019-06-28,89.88
2019-07-05,90.69
2019-07-12,90.69
2019-07-19,91.09
2019-07-26,90.69
2019-08-02,89.47
2019-08-09,84.62
2019-08-16,78.14
2019-08-23,76.52
2019-08-30,75.30
2019-09-06,78.14
2019-09-13,79.76
2019-09-20,84.21
2019-09-27,86.23
2019-10-04,86.23
2019-10-11,87.04
2019-10-18,85.02
2019-10-25,86.23
2019-11-01,86.23
2019-11-08,85.43
2019-11-15,86.23
2019-11-22,87.85
2019-11-29,89.88
2019-12-06,89.88
2019-12-13,89.88
2019-12-20,88.26
2019-12-27,88.26
2020-01-03,88.26
2020-01-10,87.45
2020-01-17,87.45
2020-01-24,87.85
2020-02-07,87.05
2020-02-14,81.78
2020-02-21,81.38
2020-02-28,82.19
2020-03-06,80.97
2020-03-13,77.73
2020-03-20,80.97
2020-03-27,81.78
2020-04-03,82.59
2020-04-10,83.40
2020-04-17,83.81
2020-04-24,84.21
2020-05-01,84.21
2020-05-08,86.44
2020-05-15,90.04
2020-05-22,91.77
2020-05-29,92.64
2020-06-05,93.07
2020-06-12,94.37
2020-06-19,95.24
2020-06-26,95.24
2020-07-03,93.51
2020-07-10,94.37
2020-07-17,94.37
2020-07-24,94.37
2020-07-31,94.37
2020-08-07,95.24
2020-08-14,95.24
2020-08-21,95.24
2020-08-28,95.24
2020-09-04,95.24
2020-09-11,94.81
2020-09-18,93.51
2020-09-25,91.34
2020-10-02,90.04
2020-10-09,89.18
2020-10-16,90.04
2020-10-23,90.04
2020-10-30,90.04
2020-11-06,90.91
2020-11-13,92.64
2020-11-20,92.64
2020-11-27,92.64
2020-12-04,92.64
2020-12-11,92.21
2020-12-18,90.04
2020-12-25,90.91
2021-01-01,90.48
2021-01-08,89.61
2021-01-15,87.45
2021-01-22,86.15
2021-01-29,79.65
2021-02-05,75.76
2021-02-19,77.06
2021-02-26,85.71
2021-03-05,90.04
2021-03-12,90.48
2021-03-19,90.04
2021-03-26,89.61
2021-04-02,89.18
2021-04-09,90.48
2021-04-16,90.04
2021-04-23,90.04
2021-04-30,90.04
2021-05-07,90.04
2021-05-14,90.04
2021-05-21,90.04
2021-05-28,85.28
2021-06-04,86.15
2021-06-11,85.71
2021-06-18,86.15
2021-06-25,74.46
2021-07-02,71.43
2021-07-09,74.03
2021-07-16,82.68
2021-07-23,84.42
2021-07-30,86.15
2021-08-06,87.88
2021-08-13,89.18
2021-08-20,89.18
2021-08-27,89.18
2021-09-03,88.31
2021-09-10,88.74
2021-09-17,88.31
2021-09-24,87.88
2021-10-01,85.28
2021-10-08,86.58
2021-10-15,88.74
2021-10-22,88.74
2021-10-29,81.39
2021-11-05,71.86
2021-11-12,49.78
2021-11-19,42.86
2021-11-26,58.01
2021-12-03,67.53
2021-12-10,79.65
2021-12-17,81.39
2021-12-24,82.25
2021-12-31,86.15
2022-01-07,83.12
2022-01-14,83.12
2022-01-21,81.82
2022-01-28,83.12
2022-02-11,82.25
2022-02-18,80.95
2022-02-25,83.12
2022-03-04,83.55
2022-03-11,83.55
2022-03-18,81.39
2022-03-25,76.19
2022-04-01,74.89
2022-04-08,76.19
2022-04-15,74.89
2022-04-22,74.89
2022-04-29,62.77
2022-05-06,62.34
2022-05-13,58.44
2022-05-20,56.71
2022-05-27,48.48
2022-06-03,51.52
2022-06-10,58.87
2022-06-17,41.99
2022-06-24,15.15
2022-07-01,16.02
2022-07-08,16.88
2022-07-15,13.85
2022-07-22,9.96
2022-07-29,19.05
2022-08-05,41.99
2022-08-12,54.55
2022-08-19,62.77
2022-08-26,61.90
2022-09-02,50.65
2022-09-09,52.38
2022-09-16,52.81
2022-09-23,47.19
2022-09-30,51.52
2022-10-07,51.52
2022-10-14,48.05
2022-10-21,38.53
2022-10-28,27.71
2022-11-04,9.96
2022-11-11,19.05
2022-11-18,23.81
2022-11-25,22.51
2022-12-02,23.81
2022-12-09,22.51
2022-12-16,21.65
2022-12-23,21.65
2022-12-30,19.91
2023-01-06,19.91
2023-01-13,22.94
2023-01-20,27.27
2023-01-27,32.47
2023-02-03,34.20
2023-02-10,38.53
2023-02-17,35.93
2023-02-24,38.96
2023-03-03,42.86
2023-03-10,49.35
2023-03-17,57.58
2023-03-24,58.87
2023-03-31,58.87
2023-04-07,54.55
2023-04-14,47.62
2023-04-21,42.42
2023-04-28,26.41
2023-05-05,22.08
2023-05-12,23.81
2023-05-19,33.33
2023-05-26,34.20
2023-06-02,32.90
2023-06-09,43.72
2023-06-16,51.95
2023-06-23,60.17
2023-06-30,64.07
2023-07-07,63.64
2023-07-14,64.07
2023-07-21,64.07
2023-07-28,64.50
2023-08-04,64.94
2023-08-11,61.47
2023-08-18,58.87
2023-08-25,51.08
2023-09-01,45.45
2023-09-08,45.02
2023-09-15,42.86
2023-09-22,42.86
2023-09-29,34.20
2023-10-06,30.74
2023-10-13,24.24
2023-10-20,19.05
2023-10-27,16.45
2023-11-03,16.88
2023-11-10,20.78
